continous scale ebaluation for image quality																					continous evaluation scale for depth perception																		contonous evaluation scale for visual comfort																					
																																																												
																																																												
ID	AGE	SEXE	Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16			Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16			Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16						
45,00	21,00	f	60,00	90,00	60,00	82,00	53,00	60,00	50,00	76,00	44,00	58,00	45,00	50,00	65,00	80,00	100,00	90,00			45,00	80,00	87,00	50,00	43,00	90,00	50,00	50,00	46,00	55,00	45,00	52,00	64,00	90,00	95,00	95,00			66,00	68,00	58,00	52,00	80,00	74,00	90,00	52,00	88,00	40,00	47,00	65,00	65,00	100,00	50,00	100,00						
46,00	21,00	M	50,00	80,00	65,00	87,00	45,00	60,00	45,00	59,00	45,00	50,00	40,00	55,00	60,00	75,00	60,00	82,00			50,00	75,00	87,00	59,00	43,00	50,00	44,00	59,00	43,00	54,00	44,00	51,00	68,00	95,00	75,00	90,00			70,00	70,00	55,00	51,00	85,00	73,00	65,00	58,00	90,00	49,00	30,00	62,00	68,00	100,00	66,00	100,00						
47,00	22,00	f	55,00	75,00	60,00	100,00	60,00	54,00	45,00	58,00	57,00	84,00	80,00	90,00	60,00	82,00	67,00	90,00			53,00	88,00	85,00	52,00	47,00	55,00	58,00	55,00	35,00	53,00	46,00	56,00	61,00	98,00	90,00	100,00			45,00	66,00	55,00	57,00	90,00	70,00	55,00	59,00	84,00	48,00	49,00	61,00	99,00	90,00	90,00	90,00						
48,00	23,00	f	56,00	70,00	20,00	40,00	59,00	56,00	59,00	65,00	50,00	60,00	50,00	60,00	60,00	79,00	90,00	89,00			51,00	80,00	85,00	51,00	45,00	75,00	31,00	50,00	45,00	52,00	44,00	55,00	60,00	100,00	70,00	100,00			60,00	61,00	50,00	50,00	80,00	80,00	85,00	60,00	87,00	47,00	55,00	66,00	100,00	70,00	90,00	95,00						
49,00	21,00	f	55,00	60,00	60,00	87,00	59,00	35,00	50,00	80,00	50,00	45,00	55,00	55,00	70,00	75,00	50,00	95,00			54,00	82,00	85,00	56,00	40,00	68,00	43,00	54,00	46,00	57,00	46,00	59,00	55,00	99,00	83,00	99,00			70,00	70,00	45,00	50,00	85,00	75,00	80,00	45,00	83,00	45,00	41,00	65,00	40,00	94,00	67,00	95,00						
50,00	20,00	m	56,00	68,00	60,00	89,00	59,00	56,00	45,00	44,00	50,00	50,00	41,00	50,00	60,00	85,00	90,00	90,00			50,00	81,00	90,00	53,00	46,00	69,00	45,00	52,00	54,00	58,00	43,00	50,00	61,00	96,00	87,00	83,00			60,00	50,00	58,00	55,00	84,00	75,00	50,00	55,00	85,00	41,00	50,00	67,00	50,00	98,00	55,00	99,00						
51,00	20,00	m	55,00	69,00	60,00	90,00	50,00	55,00	5,00	50,00	56,00	59,00	49,00	45,00	70,00	89,00	57,00	93,00			50,00	80,00	75,00	58,00	47,00	69,00	30,00	50,00	54,00	58,00	44,00	55,00	70,00	94,00	83,00	88,00			64,00	55,00	55,00	50,00	87,00	70,00	65,00	58,00	85,00	44,00	47,00	66,00	78,00	100,00	40,00	94,00						
52,00	20,00	f	30,00	20,00	20,00	50,00	50,00	42,00	40,00	30,00	40,00	40,00	20,00	50,00	30,00	85,00	40,00	92,00			50,00	95,00	87,00	49,00	43,00	65,00	60,00	60,00	30,00	65,00	47,00	53,00	57,00	90,00	89,00	85,00			0,00	70,00	50,00	58,00	81,00	76,00	63,00	56,00	80,00	40,00	20,00	60,00	65,00	90,00	70,00	100,00						
53,00	20,00	f	50,00	55,00	60,00	75,00	56,00	60,00	47,00	57,00	65,00	55,00	4,00	45,00	60,00	85,00	80,00	89,00			54,00	85,00	83,00	50,00	41,00	65,00	41,00	40,00	30,00	45,00	48,00	58,00	67,00	85,00	75,00	90,00			50,00	66,00	52,00	59,00	85,00	74,00	66,00	50,00	87,00	49,00	35,00	55,00	90,00	70,00	40,00	85,00						
54,00	21,00	f	45,00	70,00	40,00	50,00	52,00	57,00	41,00	54,00	50,00	50,00	40,00	40,00	32,00	32,00	45,00	40,00			56,00	89,00	89,00	55,00	48,00	65,00	43,00	55,00	44,00	54,00	41,00	50,00	70,00	89,00	95,00	92,00			0,00	64,00	55,00	52,00	82,00	73,00	67,00	57,00	89,00	44,00	48,00	75,00	60,00	80,00	65,00	90,00						
